Token1	Label1	Offset1	Token2	Label2	Offset2	Relation	Sentence
catalytic activity	MPA	(65, 83)	leukemias	Disease	(114, 123)	NoRelation	Mutations in SHP-2 phosphatase that cause hyperactivation of its catalytic activity have been identified in human leukemias, particularly juvenile myelomonocytic leukemia, which is characterized by hypersensitivity of myeloid progenitor cells to granulocyte macrophage colony-stimulating factor and interleukin (IL)-3.
catalytic activity	MPA	(65, 83)	SHP-2	Gene	(13, 18)	NoRelation	Mutations in SHP-2 phosphatase that cause hyperactivation of its catalytic activity have been identified in human leukemias, particularly juvenile myelomonocytic leukemia, which is characterized by hypersensitivity of myeloid progenitor cells to granulocyte macrophage colony-stimulating factor and interleukin (IL)-3.
phosphatase	Enzyme	(19, 30)	hyperactivation	PosReg	(42, 57)	NoRelation	Mutations in SHP-2 phosphatase that cause hyperactivation of its catalytic activity have been identified in human leukemias, particularly juvenile myelomonocytic leukemia, which is characterized by hypersensitivity of myeloid progenitor cells to granulocyte macrophage colony-stimulating factor and interleukin (IL)-3.
mutant	Var	(84, 90)	interactions	Interaction	(68, 80)	NoRelation	The E76K mutation in the N-terminal Src homology 2 domain increased interactions of mutant SHP-2 with Grb2, Gab2, and p85, leading to hyperactivation of IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways.
E76K	Var	(4, 8)	mutant	Var	(84, 90)	NoRelation	The E76K mutation in the N-terminal Src homology 2 domain increased interactions of mutant SHP-2 with Grb2, Gab2, and p85, leading to hyperactivation of IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways.
mutant	Var	(84, 90)	Grb2	Protein	(102, 106)	NoRelation	The E76K mutation in the N-terminal Src homology 2 domain increased interactions of mutant SHP-2 with Grb2, Gab2, and p85, leading to hyperactivation of IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways.
Grb2	Protein	(102, 106)	increased	PosReg	(58, 67)	NoRelation	The E76K mutation in the N-terminal Src homology 2 domain increased interactions of mutant SHP-2 with Grb2, Gab2, and p85, leading to hyperactivation of IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways.
E76K	Var	(4, 8)	hyperactivation	PosReg	(134, 149)	NoRelation	The E76K mutation in the N-terminal Src homology 2 domain increased interactions of mutant SHP-2 with Grb2, Gab2, and p85, leading to hyperactivation of IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways.
mutant	Var	(84, 90)	hyperactivation	PosReg	(134, 149)	NoRelation	The E76K mutation in the N-terminal Src homology 2 domain increased interactions of mutant SHP-2 with Grb2, Gab2, and p85, leading to hyperactivation of IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways.
Grb2	Protein	(102, 106)	hyperactivation	PosReg	(134, 149)	NoRelation	The E76K mutation in the N-terminal Src homology 2 domain increased interactions of mutant SHP-2 with Grb2, Gab2, and p85, leading to hyperactivation of IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways.
SHP-2	Gene	(91, 96)	IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways	Pathway	(153, 219)	NoRelation	The E76K mutation in the N-terminal Src homology 2 domain increased interactions of mutant SHP-2 with Grb2, Gab2, and p85, leading to hyperactivation of IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways.
IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways	Pathway	(153, 219)	increased	PosReg	(58, 67)	NoRelation	The E76K mutation in the N-terminal Src homology 2 domain increased interactions of mutant SHP-2 with Grb2, Gab2, and p85, leading to hyperactivation of IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways.
interactions	Interaction	(68, 80)	hyperactivation	PosReg	(134, 149)	NoRelation	The E76K mutation in the N-terminal Src homology 2 domain increased interactions of mutant SHP-2 with Grb2, Gab2, and p85, leading to hyperactivation of IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways.
SHP-2	Gene	(91, 96)	hyperactivation	PosReg	(134, 149)	NoRelation	The E76K mutation in the N-terminal Src homology 2 domain increased interactions of mutant SHP-2 with Grb2, Gab2, and p85, leading to hyperactivation of IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways.
mutant	Var	(84, 90)	increased	PosReg	(58, 67)	NoRelation	The E76K mutation in the N-terminal Src homology 2 domain increased interactions of mutant SHP-2 with Grb2, Gab2, and p85, leading to hyperactivation of IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways.
E76K	Var	(4, 8)	interactions	Interaction	(68, 80)	NoRelation	The E76K mutation in the N-terminal Src homology 2 domain increased interactions of mutant SHP-2 with Grb2, Gab2, and p85, leading to hyperactivation of IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways.
E76K	Var	(4, 8)	SHP-2	Gene	(91, 96)	NoRelation	The E76K mutation in the N-terminal Src homology 2 domain increased interactions of mutant SHP-2 with Grb2, Gab2, and p85, leading to hyperactivation of IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways.
SHP-2	Gene	(91, 96)	increased	PosReg	(58, 67)	NoRelation	The E76K mutation in the N-terminal Src homology 2 domain increased interactions of mutant SHP-2 with Grb2, Gab2, and p85, leading to hyperactivation of IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways.
Grb2	Protein	(102, 106)	E76K	Var	(4, 8)	NoRelation	The E76K mutation in the N-terminal Src homology 2 domain increased interactions of mutant SHP-2 with Grb2, Gab2, and p85, leading to hyperactivation of IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways.
SHP-2	Gene	(91, 96)	Grb2	Protein	(102, 106)	NoRelation	The E76K mutation in the N-terminal Src homology 2 domain increased interactions of mutant SHP-2 with Grb2, Gab2, and p85, leading to hyperactivation of IL-3-induced Erk and phosphatidylinositol 3-kinase (PI3K) pathways.
dampened	NegReg	(118, 126)	E76K	Var	(109, 113)	NoRelation	In addition, despite the substantial increase in the catalytic activity, dephosphorylation of STAT5 by SHP-2 E76K was dampened.
dephosphorylation of STAT5	MPA	(73, 99)	E76K	Var	(109, 113)	NoRelation	In addition, despite the substantial increase in the catalytic activity, dephosphorylation of STAT5 by SHP-2 E76K was dampened.
dampened	NegReg	(118, 126)	increase	PosReg	(37, 45)	NoRelation	In addition, despite the substantial increase in the catalytic activity, dephosphorylation of STAT5 by SHP-2 E76K was dampened.
SHP-2	Gene	(103, 108)	increase	PosReg	(37, 45)	NoRelation	In addition, despite the substantial increase in the catalytic activity, dephosphorylation of STAT5 by SHP-2 E76K was dampened.
dampened	NegReg	(118, 126)	catalytic activity	MPA	(53, 71)	NoRelation	In addition, despite the substantial increase in the catalytic activity, dephosphorylation of STAT5 by SHP-2 E76K was dampened.
catalytic activity	MPA	(53, 71)	E76K	Var	(109, 113)	NoRelation	In addition, despite the substantial increase in the catalytic activity, dephosphorylation of STAT5 by SHP-2 E76K was dampened.
catalytic activity	MPA	(53, 71)	dephosphorylation of STAT5	MPA	(73, 99)	NoRelation	In addition, despite the substantial increase in the catalytic activity, dephosphorylation of STAT5 by SHP-2 E76K was dampened.
dephosphorylation of STAT5	MPA	(73, 99)	increase	PosReg	(37, 45)	NoRelation	In addition, despite the substantial increase in the catalytic activity, dephosphorylation of STAT5 by SHP-2 E76K was dampened.
E76K	Var	(109, 113)	increase	PosReg	(37, 45)	NoRelation	In addition, despite the substantial increase in the catalytic activity, dephosphorylation of STAT5 by SHP-2 E76K was dampened.
SHP-2	Gene	(103, 108)	dampened	NegReg	(118, 126)	NoRelation	In addition, despite the substantial increase in the catalytic activity, dephosphorylation of STAT5 by SHP-2 E76K was dampened.
SHP-2	Gene	(103, 108)	catalytic activity	MPA	(53, 71)	NoRelation	In addition, despite the substantial increase in the catalytic activity, dephosphorylation of STAT5 by SHP-2 E76K was dampened.
SHP-2	Gene	(36, 41)	increase	PosReg	(108, 116)	NoRelation	Furthermore, catalytically inactive SHP-2 E76K with an additional C459S mutation retained the capability to increase the interaction with Gab2 and to enhance the activation of the PI3K pathway.
enhance	PosReg	(150, 157)	increase	PosReg	(108, 116)	NoRelation	Furthermore, catalytically inactive SHP-2 E76K with an additional C459S mutation retained the capability to increase the interaction with Gab2 and to enhance the activation of the PI3K pathway.
Gab2	Protein	(138, 142)	E76K	Var	(42, 46)	NoRelation	Furthermore, catalytically inactive SHP-2 E76K with an additional C459S mutation retained the capability to increase the interaction with Gab2 and to enhance the activation of the PI3K pathway.
E76K	Var	(42, 46)	interaction	Interaction	(121, 132)	NoRelation	Furthermore, catalytically inactive SHP-2 E76K with an additional C459S mutation retained the capability to increase the interaction with Gab2 and to enhance the activation of the PI3K pathway.
SHP-2	Gene	(36, 41)	Gab2	Protein	(138, 142)	NoRelation	Furthermore, catalytically inactive SHP-2 E76K with an additional C459S mutation retained the capability to increase the interaction with Gab2 and to enhance the activation of the PI3K pathway.
C459S	Var	(66, 71)	E76K	Var	(42, 46)	NoRelation	Furthermore, catalytically inactive SHP-2 E76K with an additional C459S mutation retained the capability to increase the interaction with Gab2 and to enhance the activation of the PI3K pathway.
Gab2	Protein	(138, 142)	C459S	Var	(66, 71)	NoRelation	Furthermore, catalytically inactive SHP-2 E76K with an additional C459S mutation retained the capability to increase the interaction with Gab2 and to enhance the activation of the PI3K pathway.
SHP-2	Gene	(36, 41)	PI3K pathway	Pathway	(180, 192)	NoRelation	Furthermore, catalytically inactive SHP-2 E76K with an additional C459S mutation retained the capability to increase the interaction with Gab2 and to enhance the activation of the PI3K pathway.
C459S	Var	(66, 71)	interaction	Interaction	(121, 132)	NoRelation	Furthermore, catalytically inactive SHP-2 E76K with an additional C459S mutation retained the capability to increase the interaction with Gab2 and to enhance the activation of the PI3K pathway.
Gab2	Protein	(138, 142)	increase	PosReg	(108, 116)	NoRelation	Furthermore, catalytically inactive SHP-2 E76K with an additional C459S mutation retained the capability to increase the interaction with Gab2 and to enhance the activation of the PI3K pathway.
PI3K pathway	Pathway	(180, 192)	increase	PosReg	(108, 116)	NoRelation	Furthermore, catalytically inactive SHP-2 E76K with an additional C459S mutation retained the capability to increase the interaction with Gab2 and to enhance the activation of the PI3K pathway.
interaction	Interaction	(121, 132)	enhance	PosReg	(150, 157)	NoRelation	Furthermore, catalytically inactive SHP-2 E76K with an additional C459S mutation retained the capability to increase the interaction with Gab2 and to enhance the activation of the PI3K pathway.
Gab2	Protein	(138, 142)	enhance	PosReg	(150, 157)	NoRelation	Furthermore, catalytically inactive SHP-2 E76K with an additional C459S mutation retained the capability to increase the interaction with Gab2 and to enhance the activation of the PI3K pathway.
SHP-2	Gene	(36, 41)	interaction	Interaction	(121, 132)	NoRelation	Furthermore, catalytically inactive SHP-2 E76K with an additional C459S mutation retained the capability to increase the interaction with Gab2 and to enhance the activation of the PI3K pathway.
bchs	Gene	(99, 103)	mutations	Var	(53, 62)	ThemeOf	Previously we have found that loss-of-function (LOF) mutations in the Drosophila gene blue cheese (bchs) lead to reduced adult life span, increased neuronal death, and widespread CNS degeneration that is associated with the formation of ubiquitinated-protein aggregates.
ubiquitinated protein profiles	MPA	(140, 170)	changes	Reg	(129, 136)	ThemeOf	Mutations in several lysosomal trafficking genes resulted in significantly decreased adult life spans and several mutants showed changes in ubiquitinated protein profiles as young adults.
mutations	Var	(53, 62)	reduced	NegReg	(113, 120)	CauseOf	Previously we have found that loss-of-function (LOF) mutations in the Drosophila gene blue cheese (bchs) lead to reduced adult life span, increased neuronal death, and widespread CNS degeneration that is associated with the formation of ubiquitinated-protein aggregates.
adult life span	CPA	(121, 136)	reduced	NegReg	(113, 120)	ThemeOf	Previously we have found that loss-of-function (LOF) mutations in the Drosophila gene blue cheese (bchs) lead to reduced adult life span, increased neuronal death, and widespread CNS degeneration that is associated with the formation of ubiquitinated-protein aggregates.
mutations	Var	(53, 62)	increased	PosReg	(138, 147)	CauseOf	Previously we have found that loss-of-function (LOF) mutations in the Drosophila gene blue cheese (bchs) lead to reduced adult life span, increased neuronal death, and widespread CNS degeneration that is associated with the formation of ubiquitinated-protein aggregates.
neuronal death	CPA	(148, 162)	increased	PosReg	(138, 147)	ThemeOf	Previously we have found that loss-of-function (LOF) mutations in the Drosophila gene blue cheese (bchs) lead to reduced adult life span, increased neuronal death, and widespread CNS degeneration that is associated with the formation of ubiquitinated-protein aggregates.
mutations	Var	(53, 62)	degeneration	NegReg	(183, 195)	CauseOf	Previously we have found that loss-of-function (LOF) mutations in the Drosophila gene blue cheese (bchs) lead to reduced adult life span, increased neuronal death, and widespread CNS degeneration that is associated with the formation of ubiquitinated-protein aggregates.
widespread CNS	CPA	(168, 182)	degeneration	NegReg	(183, 195)	ThemeOf	Previously we have found that loss-of-function (LOF) mutations in the Drosophila gene blue cheese (bchs) lead to reduced adult life span, increased neuronal death, and widespread CNS degeneration that is associated with the formation of ubiquitinated-protein aggregates.
lysosomal trafficking genes	Gene	(21, 48)	Mutations	Var	(0, 9)	ThemeOf	Mutations in several lysosomal trafficking genes resulted in significantly decreased adult life spans and several mutants showed changes in ubiquitinated protein profiles as young adults.
Mutations	Var	(0, 9)	decreased	NegReg	(75, 84)	CauseOf	Mutations in several lysosomal trafficking genes resulted in significantly decreased adult life spans and several mutants showed changes in ubiquitinated protein profiles as young adults.
adult life spans	CPA	(85, 101)	decreased	NegReg	(75, 84)	ThemeOf	Mutations in several lysosomal trafficking genes resulted in significantly decreased adult life spans and several mutants showed changes in ubiquitinated protein profiles as young adults.
Mutations	Var	(0, 9)	changes	Reg	(129, 136)	CauseOf	Mutations in several lysosomal trafficking genes resulted in significantly decreased adult life spans and several mutants showed changes in ubiquitinated protein profiles as young adults.
neuronal death	CPA	(148, 162)	degeneration	NegReg	(183, 195)	NoRelation	Previously we have found that loss-of-function (LOF) mutations in the Drosophila gene blue cheese (bchs) lead to reduced adult life span, increased neuronal death, and widespread CNS degeneration that is associated with the formation of ubiquitinated-protein aggregates.
widespread CNS	CPA	(168, 182)	reduced	NegReg	(113, 120)	NoRelation	Previously we have found that loss-of-function (LOF) mutations in the Drosophila gene blue cheese (bchs) lead to reduced adult life span, increased neuronal death, and widespread CNS degeneration that is associated with the formation of ubiquitinated-protein aggregates.
bchs	Gene	(99, 103)	reduced	NegReg	(113, 120)	NoRelation	Previously we have found that loss-of-function (LOF) mutations in the Drosophila gene blue cheese (bchs) lead to reduced adult life span, increased neuronal death, and widespread CNS degeneration that is associated with the formation of ubiquitinated-protein aggregates.
mutations	Var	(53, 62)	widespread CNS	CPA	(168, 182)	NoRelation	Previously we have found that loss-of-function (LOF) mutations in the Drosophila gene blue cheese (bchs) lead to reduced adult life span, increased neuronal death, and widespread CNS degeneration that is associated with the formation of ubiquitinated-protein aggregates.
adult life span	CPA	(121, 136)	increased	PosReg	(138, 147)	NoRelation	Previously we have found that loss-of-function (LOF) mutations in the Drosophila gene blue cheese (bchs) lead to reduced adult life span, increased neuronal death, and widespread CNS degeneration that is associated with the formation of ubiquitinated-protein aggregates.
bchs	Gene	(99, 103)	degeneration	NegReg	(183, 195)	NoRelation	Previously we have found that loss-of-function (LOF) mutations in the Drosophila gene blue cheese (bchs) lead to reduced adult life span, increased neuronal death, and widespread CNS degeneration that is associated with the formation of ubiquitinated-protein aggregates.
widespread CNS	CPA	(168, 182)	neuronal death	CPA	(148, 162)	NoRelation	Previously we have found that loss-of-function (LOF) mutations in the Drosophila gene blue cheese (bchs) lead to reduced adult life span, increased neuronal death, and widespread CNS degeneration that is associated with the formation of ubiquitinated-protein aggregates.
widespread CNS	CPA	(168, 182)	adult life span	CPA	(121, 136)	NoRelation	Previously we have found that loss-of-function (LOF) mutations in the Drosophila gene blue cheese (bchs) lead to reduced adult life span, increased neuronal death, and widespread CNS degeneration that is associated with the formation of ubiquitinated-protein aggregates.
mutations	Var	(53, 62)	adult life span	CPA	(121, 136)	NoRelation	Previously we have found that loss-of-function (LOF) mutations in the Drosophila gene blue cheese (bchs) lead to reduced adult life span, increased neuronal death, and widespread CNS degeneration that is associated with the formation of ubiquitinated-protein aggregates.
mutations	Var	(53, 62)	neuronal death	CPA	(148, 162)	NoRelation	Previously we have found that loss-of-function (LOF) mutations in the Drosophila gene blue cheese (bchs) lead to reduced adult life span, increased neuronal death, and widespread CNS degeneration that is associated with the formation of ubiquitinated-protein aggregates.
reduced	NegReg	(113, 120)	degeneration	NegReg	(183, 195)	NoRelation	Previously we have found that loss-of-function (LOF) mutations in the Drosophila gene blue cheese (bchs) lead to reduced adult life span, increased neuronal death, and widespread CNS degeneration that is associated with the formation of ubiquitinated-protein aggregates.
reduced	NegReg	(113, 120)	neuronal death	CPA	(148, 162)	NoRelation	Previously we have found that loss-of-function (LOF) mutations in the Drosophila gene blue cheese (bchs) lead to reduced adult life span, increased neuronal death, and widespread CNS degeneration that is associated with the formation of ubiquitinated-protein aggregates.
degeneration	NegReg	(183, 195)	increased	PosReg	(138, 147)	NoRelation	Previously we have found that loss-of-function (LOF) mutations in the Drosophila gene blue cheese (bchs) lead to reduced adult life span, increased neuronal death, and widespread CNS degeneration that is associated with the formation of ubiquitinated-protein aggregates.
widespread CNS	CPA	(168, 182)	increased	PosReg	(138, 147)	NoRelation	Previously we have found that loss-of-function (LOF) mutations in the Drosophila gene blue cheese (bchs) lead to reduced adult life span, increased neuronal death, and widespread CNS degeneration that is associated with the formation of ubiquitinated-protein aggregates.
reduced	NegReg	(113, 120)	increased	PosReg	(138, 147)	NoRelation	Previously we have found that loss-of-function (LOF) mutations in the Drosophila gene blue cheese (bchs) lead to reduced adult life span, increased neuronal death, and widespread CNS degeneration that is associated with the formation of ubiquitinated-protein aggregates.
neuronal death	CPA	(148, 162)	adult life span	CPA	(121, 136)	NoRelation	Previously we have found that loss-of-function (LOF) mutations in the Drosophila gene blue cheese (bchs) lead to reduced adult life span, increased neuronal death, and widespread CNS degeneration that is associated with the formation of ubiquitinated-protein aggregates.
adult life span	CPA	(121, 136)	degeneration	NegReg	(183, 195)	NoRelation	Previously we have found that loss-of-function (LOF) mutations in the Drosophila gene blue cheese (bchs) lead to reduced adult life span, increased neuronal death, and widespread CNS degeneration that is associated with the formation of ubiquitinated-protein aggregates.
